Name,Comment,Creator,Creation Date,Modifier,Modification Date
additional info / comments,,Wouter Van Rossem,5/7/2020,Wouter Van Rossem,5/7/2020
application data,,Yoren,5/6/2020,Yoren,5/6/2020
asylum,,Yoren,5/6/2020,Wouter Van Rossem,5/7/2020
belongings,,Wouter Van Rossem,5/7/2020,Wouter Van Rossem,5/7/2020
biometrics,,Wouter Van Rossem,11/26/2019,Wouter Van Rossem,5/7/2020
biometrics: fingerprint data,,Wouter Van Rossem,11/26/2019,Wouter Van Rossem,5/7/2020
biometrics: photograph data,,Wouter Van Rossem,11/26/2019,Wouter Van Rossem,5/7/2020
birth data,,Wouter Van Rossem,1/28/2019,Wouter Van Rossem,5/7/2020
birth data: date of birth,,Wouter Van Rossem,11/26/2019,Wouter Van Rossem,5/7/2020
birth data: place of birth,,Wouter Van Rossem,11/26/2019,Wouter Van Rossem,5/7/2020
border crossing data,,Wouter Van Rossem,5/7/2020,Wouter Van Rossem,5/7/2020
civil status,,Wouter Van Rossem,11/26/2019,Wouter Van Rossem,5/7/2020
civil status: values,,Wouter Van Rossem,12/4/2019,Wouter Van Rossem,5/7/2020
contact info,,Wouter Van Rossem,11/26/2019,Wouter Van Rossem,5/7/2020
country: destination country,,Yoren,5/6/2020,Wouter Van Rossem,5/7/2020
criminal offence data,,Wouter Van Rossem,5/7/2020,Wouter Van Rossem,5/7/2020
date of application,,Yoren,5/6/2020,Yoren,5/6/2020
date of entry,,Yoren,5/6/2020,Yoren,5/6/2020
date of exit,,Yoren,5/6/2020,Yoren,5/6/2020
deceased,,Wouter Van Rossem,12/1/2019,Wouter Van Rossem,5/7/2020
education,,Wouter Van Rossem,11/26/2019,Wouter Van Rossem,5/7/2020
education: extent,,Yoren,5/6/2020,Wouter Van Rossem,5/7/2020
education: extent: values,,Wouter Van Rossem,12/4/2019,Wouter Van Rossem,5/7/2020
education: location,,Yoren,5/6/2020,Wouter Van Rossem,5/7/2020
ethnicity,,Wouter Van Rossem,11/26/2019,Wouter Van Rossem,5/7/2020
family status data,,Wouter Van Rossem,11/26/2019,Wouter Van Rossem,5/7/2020
GUI: frames,,Wouter Van Rossem,5/7/2020,Wouter Van Rossem,5/11/2020
GUI: widgets,,Wouter Van Rossem,5/7/2020,Wouter Van Rossem,5/11/2020
GUI: widgets: drop-down list: countries,,Wouter Van Rossem,5/11/2020,Wouter Van Rossem,5/11/2020
immigration status,,Yoren,5/6/2020,Wouter Van Rossem,5/7/2020
immigration status: values,,Yoren,5/8/2020,Yoren,5/8/2020
IOM MiMOSA: Movement: biographical info: education/language,,Yoren,5/6/2020,Wouter Van Rossem,5/7/2020
IOM screening sites,,Yoren,5/8/2020,Yoren,5/8/2020
language,,Wouter Van Rossem,11/26/2019,Wouter Van Rossem,5/7/2020
language: reading,,Yoren,5/6/2020,Wouter Van Rossem,5/7/2020
language: speaking,,Yoren,5/6/2020,Wouter Van Rossem,5/7/2020
language: writing,,Yoren,5/6/2020,Wouter Van Rossem,5/7/2020
linking data,,Wouter Van Rossem,11/26/2019,Wouter Van Rossem,5/11/2020
linking data: EU,,Wouter Van Rossem,5/7/2020,Wouter Van Rossem,5/7/2020
